,Work Description,Issue Date,Valuation,Floor Area-L.A. Zoning Code Definition,# of Residential Dwelling Units,# of Stories,Zone,APN_number,AIN,GeneralUseType,SpecificUseType,RecordingDate,Bedrooms,Bathrooms,Units,TotalValue
10,CONVERT ATTACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299 AND SB,2017-04-03,22500.0,1956.0,1.0,1.0,R1-1,2403003006,2403003006,(missing),(missing),2004-01-21,3.0,2.0,1,"525,845.00"
11,"CONVERT EXISTING 26'-8"" X 32'-3"" RECREATION TO ACCESSORY DWELLING UNIT",2017-04-06,25000.0,982.0,1.0,1.0,R1-1,2353033035,2353033035,Residential,Single Family Residence,2015-07-22,4.0,4.0,2,"921,576.00"
12,(P) NEW 1-STORY ACCESSORY DWELLING UNIT (ADU) 700 SQ FT AS PER AB 494,2019-06-13,70000.0,698.0,,1.0,R2-1-O,5041018024,5041018024,Residential,Single Family Residence,2018-10-19,3.0,1.0,1,"27,192.00"
13,CONVERT 21' X 20' RECREATION ROOM INTO AN ACCESSORY DWELLING UNIT PER,2018-01-30,12000.0,0.0,,1.0,R1-1-RIO,2159009006,2159009006,Residential,Single Family Residence,2011-01-31,2.0,1.0,1,"309,232.00"
14,"CONVERT (E) 21'-0"" X 21'-2"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-05-16,20000.0,403.0,0.0,0.0,R1-1,2042009025,2042009025,Residential,Single Family Residence,2006-06-05,3.0,1.0,1,"398,668.00"
15,PROPOSED NEW 1-STORY ACCESSORY DWELLING UNIT PER AB 494 & SB 229. ALL,2018-09-12,188000.0,1198.75,,1.0,RA-1,2722006014,2722006014,Residential,Single Family Residence,2008-02-12,4.0,3.0,1,"860,314.00"
16,"CONVERT (E) 18'-2"" X 20'-0"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2018-11-08,19000.0,360.0,,0.0,R1-1-RFA,2558035010,2558035010,Residential,Single Family Residence,2018-03-20,3.0,1.0,1,"346,843.00"
17,Convert storage building to accessory dwelling unit per AB-2299 and SB,2017-05-17,5000.0,200.0,1.0,1.0,R1-1,4303007010,4303007010,Residential,Single Family Residence,2018-07-10,7.0,8.0,1,"2,600,000.00"
18,Convert existing 20' x 20' rec-room to new Accessory Dwelling Unit per,2017-06-16,7000.0,0.0,1.0,,R1-1-CUGU,2523011005,2523011005,Residential,Single Family Residence,1992-04-07,4.0,2.0,1,"130,556.00"
19,CONVERT (E) 20' X 20' DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER A,2020-02-14,20000.0,360.0,,,RS-1-CUGU,2629022006,2629022006,Residential,Single Family Residence,2016-06-01,3.0,2.0,1,"519,990.00"
20,CONVERT (E) ATTACHED GARAGE TO ACCESSORY DWELLING UNIT. WORK DONE PER,2020-05-15,20000.0,2166.0,0.0,1.0,RS-1,2688043026,2688043026,Residential,Single Family Residence,2002-08-30,4.0,2.0,1,"508,813.00"
21,SUPPLEMENTAL PERMIT TO 17016-10000-32547 TO CORRECT ADU ADDRESS TO 425,2017-12-29,0.0,,,,R1-1,4232016004,4232016004,(missing),(missing),2009-07-10,2.0,2.0,2,"722,137.00"
22,Convert (e) garage to accessory dwelling unit per AB2299 & and add 193,2017-03-29,25000.0,562.0,1.0,1.0,R1-1,4303007017,4303007017,Residential,Single Family Residence,2011-07-29,3.0,3.0,2,"772,810.00"
23,"CONVERT (E) 19'9"" x 20'6"" ATTACHED GARAGE TO ACCESSORY DWELLING UNIT P",2017-03-29,17400.0,384.0,1.0,0.0,R1-1-RFA,2556024025,2556024025,Residential,Single Family Residence,2016-04-13,3.0,2.0,1,"509,991.00"
24,SUPPLEMENTAL PERMIT TO 18016-10000-20539 TO REVISE THE ADU FLOOR PLAN.,2019-01-17,501.0,,,,RE40-1,2168011021,2168011021,Residential,Single Family Residence,2017-01-26,4.0,4.0,1,"1,003,986.00"
25,CONVERT (E) ATT. GARAGE TO ADU PER AB 2299 & SB 1069.  NOW SFD WITH AT,2017-06-05,24000.0,2785.0,1.0,,R1-1-CUGU,2514014035,2514014035,Residential,Single Family Residence,2015-11-23,4.0,2.0,1,"350,663.00"
26,Convert Accessory Living Quarters/Rec. Room to Accessory Dwelling unit,2017-04-06,10000.0,600.0,1.0,1.0,RE15-1,4380004021,4380004021,Residential,Single Family Residence,1986-08-13,1.0,1.0,1,"143,209.00"
27,"CONVERT 18'-3"" X 19'-5"" GARAGE TO NEW ACCESSORY DWELLING UNIT PER AB22",2017-05-08,112000.0,1047.0,1.0,2.0,R1-1,2325003009,2325003009,Residential,Single Family Residence,2013-04-01,5.0,6.0,2,"445,197.00"
28,5' X 9' ADDITION & CONVERT DET. GARAGE TO ADU PER AB 2299 AND SB 1069.,2017-04-28,13345.0,365.0,1.0,1.0,R1-1,5513007003,5513007003,(missing),(missing),2006-07-24,3.0,3.0,2,"1,465,001.00"
29,New 13'-4''x 56'-0'' accessory dwelling unit per ab494 and sb229.  Man,2018-07-10,75000.0,746.0,,1.0,RA-1,2781018007,2781018007,Residential,Single Family Residence,2016-08-12,2.0,3.0,1,"667,935.00"
30,"NEW (17'-7""x 26'-2"")  ATTACHED ACCESSORY DWELLING UNIT PER AB 494 SB 2",2019-11-07,47000.0,2022.0,0.0,1.0,R1-1-O-CUGU,2620018031,2620018031,Residential,Single Family Residence,2018-02-08,4.0,3.0,1,"403,477.00"
31,Convert (e) Det. garage to an accessory dwelling unit ADU per AB 494 a,2019-09-12,5000.0,361.0,,1.0,R1-1-RIO,2123014011,2123014011,Residential,Single Family Residence,2018-12-26,3.0,2.0,1,"570,000.00"
32,CONVERT (E) 40' x 20' GARAGE TO AN ACCESSORY DWELLING UNIT PER AB 2299,2017-05-05,37000.0,1000.0,1.0,1.0,RE9-1XL-RFA,2696006031,2696006031,Residential,Single Family Residence,2017-03-29,2.0,1.0,1,"520,200.00"
33,"NEW (25'-2"" X 49') IRREGULAR SHAPED DETACHED ACCESSORY DWELLING UNIT P",2018-06-01,100000.0,1020.0,,1.0,R1-1,2121018068,2121018068,Residential,Single Family Residence,2018-04-30,2.0,1.0,1,"307,810.00"
34,CONVERT EXISTING DETACHED GARAGE TO NEW ACCESSORY DWELLING UNIT PER AB,2019-11-26,20000.0,395.0,,0.0,RS-1-RIO,2148005003,2148005003,Residential,Single Family Residence,2008-07-14,3.0,2.0,1,"81,040.00"
35,Convert  attached garage into an Accessory Dwelling Unit,2020-02-18,51000.0,360.0,0.0,0.0,R1-1-CUGU,2527010027,2527010027,Residential,Single Family Residence,2013-12-26,3.0,2.0,1,"357,144.00"
36,"CONVERT (E) 20'-0"" X 18'-0"" DETACHED GARAGE INTO ACCESSORY DWELLING UN",2017-05-09,16500.0,360.0,1.0,1.0,R1-1,2419015003,2419015003,Residential,Single Family Residence,2018-02-12,3.0,2.0,1,"993,683.00"
37,CONVERT (E) 18' X 20' DETACHED GARAGE TO (N) ACCESSORY DWELLING UNIT P,2019-11-27,20000.0,338.0,,0.0,R1-1,5029001007,5029001007,Residential,Single Family Residence,2009-01-16,3.0,2.0,1,"331,648.00"
38,"ADD 22'-4"" X 28'-0"", 1-STORY ADDITION OF ACCESSORY DWELLING UNIT (ADU)",2019-02-11,63000.0,625.0,,1.0,R2-1,6029008026,6029008026,Residential,Single Family Residence,2016-05-04,2.0,1.0,1,"313,054.00"
39,"NEW 2-STORY ADU (804 SF) PER AB 494 AND SB 229.  ""COMPLY WITH DEPARTME",2019-11-15,100000.0,740.0,,2.0,R2-1-CPIO,5003017019,5003017019,Residential,Single Family Residence,2012-06-27,2.0,1.0,1,"230,821.00"
40,"PROPOSE 18'-6""X18'-7"" ONE STORY ACCESSORY DWELLING UNIT PER AB 494 & S",2019-07-15,35000.0,311.5,,1.0,RA-1,2783002015,2783002015,Residential,Single Family Residence,2012-09-18,2.0,1.0,1,"237,333.00"
41,"CONVERT THE (E) 20' X 20'2"" ATTACHED GARAGE INTO AN ACCESSORY DWELLING",2019-08-15,25000.0,407.0,0.0,,RS-1,2676013023,2676013023,Residential,Single Family Residence,2003-06-16,4.0,2.0,1,"421,117.00"
42,"CONVERT (E) 28'2"" x 28'4"" (IRR. SHAPE) GARAGE TO AN ACCESSORY DWELLING",2017-06-16,35000.0,633.0,1.0,0.0,R1V2,4108010020,4108010020,Residential,Single Family Residence,2016-04-19,3.0,2.0,1,"1,183,245.00"
43,"CONVERT (E) 20'-0"" X 20'-7"" ATTACHED GARAGE TO (N) ACCESSORY DWELLING",2019-11-25,18000.0,377.0,0.0,0.0,R1-1VL-RFA,2556028010,2556028010,Residential,Single Family Residence,2013-01-10,4.0,2.0,1,"309,088.00"
44,"NEW DETACHED 29' 4"" X 23' 5"" IRREGULAR-SHAPED ACCESSORY DWELLING UNIT",2019-02-13,59388.0,588.0,,1.0,R1-1,2101036007,2101036007,Residential,Single Family Residence,2013-09-13,4.0,3.0,1,"417,585.00"
45,NEW 2-STORY ADU PER AB 494 AND SB 229  .,2019-11-27,130000.0,1197.0,,2.0,R1-1-RIO,2024006013,2024006013,Residential,Single Family Residence,2018-08-31,3.0,2.0,1,"460,000.00"
46,CONVERT EXIST. 24' x 25' SECOND DWELLING UNIT TO ACCESSORY DWELLING UN,2017-03-16,70000.0,400.0,0.0,1.0,R1-1,2331023047,2331023047,Residential,Single Family Residence,2017-01-05,5.0,4.0,2,"712,805.00"
47,CONVERT (E) STORAGE ROOM TO ACCESSORY DWELLING UNIT PER AB2299 AND SB1,2018-04-26,40000.0,693.0,,0.0,R3-1,5078035009,5078035009,Residential,Single Family Residence,2017-02-07,2.0,2.0,1,"156,936.00"
48,"(N) TWO-STORY (30' x 20', 1,200 SF) ACCESSORY DWELLING UNIT PER AB2299",2017-05-30,180000.0,1200.0,1.0,2.0,R2-1,5474007019,5474007019,Residential,Single Family Residence,2005-04-05,2.0,2.0,1,"686,396.00"
49,Conversion of (e) detached garage to ADU per AB 494 & SB 229. All work,2020-05-15,15000.0,296.0,,1.0,R2-1-O,5069029006,5069029006,Residential,Single Family Residence,2018-02-27,5.0,2.0,1,"1,356,600.00"
50,"NEW ACCESSORY DWELLING UNIT ,  PER AB 2299 AND SB 1069 , WITH 1 OPEN P",2017-03-02,85000.0,562.5,1.0,1.0,R1-1,5476011034,5476011034,Residential,Single Family Residence,2014-07-18,3.0,2.0,1,"636,735.00"
51,"ADD 24.5' x 29'1"" TO DETACHED GARAGE AND CONVERT TO ACCESSORY DWELLING",2020-05-15,70000.0,703.0,,1.0,R1-1-RIO,2159006023,2159006023,Residential,Single Family Residence,2016-08-02,2.0,1.0,1,"613,000.00"
52,"NEW (28'-0"" x 21'-4"") TWO STORY DETACHED ACCESSORY DWELLING UNIT PER A",2019-11-27,101000.0,973.4,,2.0,R1-1,5517018023,5517018023,Residential,Single Family Residence,2014-12-31,3.0,3.0,1,"541,804.00"
53,CONVERT DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 2,2019-09-18,16000.0,186.0,,,RD1.5-1VL,5401010042,5401010042,Residential,Single Family Residence,2016-06-13,2.0,1.0,1,"673,865.00"
54,"NEW 1-STORY, 18'-9""x 49'-0"",  ACCESSORY DWELLING UNIT  PER SB 229  AN",2019-08-05,100000.0,711.0,,1.0,[Q]RD2-1-RIO,5436009025,5436009025,Residential,Single Family Residence,2017-10-27,2.0,1.0,1,"734,400.00"
55,CONVERT ATTACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB 494 AND,2019-09-16,39000.0,1600.0,0.0,,RS-1,2103019016,2103019016,Residential,Single Family Residence,2007-08-07,3.0,2.0,1,"170,732.00"
56,"CONVERT (E) 20'-0"" X 20'-2"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2019-11-27,17000.0,364.0,,0.0,RS-1-RIO,2148007003,2148007003,Residential,Single Family Residence,2004-03-01,3.0,2.0,1,"497,066.00"
57,"ADD 17'9"" x 24' TO ATTACHED CARPORT AND CONVERT TO ACCESSORY DWELLING",2019-03-01,66500.0,2008.0,0.0,1.0,R1-1-CUGU,2631025023,2631025023,Residential,Single Family Residence,2018-12-12,3.0,2.0,1,"464,606.00"
58,CONVERT DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 2299 AND SB,2017-11-28,18000.0,327.0,,1.0,R1-1,4105001010,4105001010,Residential,Single Family Residence,2017-06-13,4.0,3.0,2,"954,046.00"
59,Convert garage to accessory dwelling unit and add 165 SF per AB 494 an,2019-09-19,75000.0,525.0,,1.0,R1-1,2317011006,2317011006,Residential,Single Family Residence,2016-05-04,2.0,2.0,1,"155,977.00"
60,CONVERT (E) GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND SB 229,2018-07-03,18400.0,426.0,,1.0,RS-1,2666030010,2666030010,Residential,Single Family Residence,2016-11-01,3.0,2.0,1,"483,518.00"
61,PROPOSED CONVERSION PORTION OF (E) SFD TO ACCESSORY DWELLING UNIT PER,2019-03-29,20000.0,-160.0,0.0,,R1-1,6041029023,6041029023,Residential,Single Family Residence,2018-12-20,3.0,2.0,1,"425,000.00"
62,CONVERSION OF (E) GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 494 & S,2019-03-26,25000.0,354.0,,1.0,R1V2,4214012008,4214012008,Residential,Single Family Residence,2001-04-25,3.0,2.0,1,"484,921.00"
63,CONVERT (E) ATTACHED GARAGE AND NEW ADDITION TO ACCESSORY DWELLING UNI,2019-09-18,40000.0,1904.0,0.0,1.0,R1-1-RIO,2134008017,2134008017,Residential,Single Family Residence,2013-10-02,3.0,1.0,1,"285,714.00"
64,"(N) 36'-0"" x 24'-0"" irregular shape Two-Story Accessory Dwelling Unit",2019-08-26,121000.0,1188.0,,2.0,R1-1,2075016012,2075016012,Residential,Single Family Residence,2012-11-30,3.0,2.0,1,"590,585.00"
65,"CONVERT (E) 19'8"" x 21'8"" ATTACHED GARAGE TO AN AN ACCESSORY DWELLING",2017-03-28,18500.0,450.0,1.0,0.0,R1-1,2403006010,2403006010,(missing),(missing),2017-08-25,3.0,2.0,1,"684,103.00"
66,CONVERT (E) DETACHED 2-CAR GARAGE INTO AN ADU  PER CA Govt. Code 65852,2020-05-11,20000.0,324.0,,1.0,[Q]R1-1D,5215023024,5215023024,Residential,Single Family Residence,1988-05-25,2.0,1.0,1,"188,708.00"
67,"CONVERT (E) (20'-0""x 18'-0"") DETACHED GARAGE TO ACCESSORY DWELLING UNI",2019-09-17,20000.0,360.0,,0.0,R1-1,2332015021,2332015021,Residential,Single Family Residence,2018-05-11,3.0,2.0,1,"698,700.00"
68,ADDITION TO AND CONVERT THE (E) GARAGE INTO A (N) ACCESSORY DWELLING U,2020-05-13,75000.0,1200.0,,0.0,RE11-1,2344017012,2344017012,Residential,Single Family Residence,2017-08-07,5.0,4.0,1,"264,199.00"
69,NEW 32' X 22' (1) STORY ACCESSORY DWELLING UNIT PER AB 494 AND SB 229.,2018-07-26,75000.0,704.0,0.0,1.0,R1-1,5485007020,5485007020,Residential,Single Family Residence,2017-05-17,2.0,1.0,1,"174,563.00"
70,"TO CONVERT (E) DETACHED GARAGE TO AN ADU PER AB 494, SB 229,  AND ADDI",2019-02-07,30000.0,446.5,,1.0,R1-1,5061005003,5061005003,Residential,Single Family Residence,2012-09-04,4.0,3.0,1,"768,155.00"
71,"ADD 17'-3"" x 25'-2"" ACCESSORY DWELLING UNIT TO (E)SINGLE FAMILY DWELLI",2019-09-11,95000.0,408.0,0.0,0.0,R1-1,2369035015,2369035015,Residential,Single Family Residence,2000-08-09,4.0,3.0,1,"535,540.00"
72,"CONVERT 14'-7"" X 25'-4"" REC ROOM INTO ACCESSORY DWELLING UNIT (343 SQ",2018-03-16,15000.0,0.0,0.0,1.0,R1V2,4214008021,4214008021,Residential,Single Family Residence,2015-02-10,3.0,1.0,1,"808,040.00"
73,"CONVERT (E) 21'2"" X 20'6"" ATTACHED GARAGE TO ACCESSORY DWELLING UNIT P",2019-11-25,40000.0,2196.0,0.0,,RS-1,2045026006,2045026006,Residential,Single Family Residence,2009-09-11,4.0,2.0,1,"400,631.00"
74,CONVERTATTAHCED GARAGE TO ACCESSORY DWELLING UNIT  PER AB 494 AND SB 2,2019-05-31,18000.0,303.0,0.0,,RS-1,2661017014,2661017014,Residential,Single Family Residence,2001-07-12,3.0,2.0,1,"324,639.00"
75,"CONVERT (E) 19'-6"" X 20'-0"" DETACHED GARAGE TO (N) ACCESSORY DWELLING",2020-05-15,17000.0,358.0,,0.0,R1V1,4423004013,4423004013,Residential,Single Family Residence,2012-08-16,2.0,2.0,1,"717,719.00"
76,"20'-0: X 40'-0""  DETACHED ACCESSORY DWELLING UNIT PER AB 494 & SB 229.",2020-05-15,101000.0,936.0,,1.0,R1-1,2506023020,2506023020,Residential,Single Family Residence,2015-04-17,2.0,1.0,1,"371,696.00"
77,"ADDITION OF 13'0""X10""0"" TO AND CONVERT THE (E) GARAGE INTO A (N) ADU P",2019-04-26,40000.0,490.0,,0.0,R1-1,2642023012,2642023012,Residential,Single Family Residence,2013-05-10,3.0,2.0,1,"240,672.00"
78,"NEW ONE STORY ADU  (1044 SQ FT, 29 ft x 39ft) AT REAR OF LOT",2018-07-18,110000.0,1044.0,,1.0,RD1.5-1-O-HPOZ,5124012018,5124012018,Residential,Single Family Residence,2018-01-23,4.0,6.0,1,"1,632,132.00"
79,CONVERT (E) 18' X 20' ATTACHED GARAGE TO (N) ACCESSORY DWELLING UNIT P,2019-09-17,20000.0,360.0,0.0,0.0,RS-1,2304009004,2304009004,Residential,Single Family Residence,2007-10-30,4.0,3.0,1,"289,472.00"
80,CONVERT (E) 19' X 20' DETACHED 2-CAR GARAGE TO ACCESSORY DWELLING UNIT,2019-11-25,20000.0,360.0,,1.0,R1-1,2640023015,2640023015,Residential,Single Family Residence,2018-08-24,3.0,1.0,1,"510,000.00"
81,Convert (e) detached garage to accessory dwelling unit per AB 2299 and,2017-05-08,12000.0,300.0,1.0,1.0,R1-1-O,5085019004,5085019004,Residential,Single Family Residence,2015-07-24,2.0,2.0,1,"1,043,966.00"
82,CONVERT (E) ATTACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB 494,2019-02-05,30000.0,371.0,0.0,0.0,R1-1,2217012046,2217012046,Residential,Single Family Residence,2017-03-28,3.0,2.0,1,"525,205.00"
83,CONVERT (E) DETACHED GARAGE TO ACCESSORY DWELLING UNIT PER AB 494 AND,2019-09-16,25000.0,364.0,,1.0,R2-1,6063013005,6063013005,Residential,Single Family Residence,2018-06-25,4.0,3.0,1,"343,867.00"
84,NEW DETACHED 43' X 24' IRREGULAR-SHAPED 1-STORY ACCESSORY DWELLING UNI,2019-09-19,98000.0,971.0,,1.0,RA-1-K,2501010019,2501010019,Residential,Single Family Residence,2018-10-15,3.0,2.0,1,"900,000.00"
85,Convert detached garage to Accessory Dwelling Unit per AB 494 & SB 229,2018-03-13,45000.0,640.0,,1.0,R1V2,4244022028,4244022028,Residential,Single Family Residence,2017-12-18,4.0,4.0,2,"1,292,850.00"
86,REMOVE ATTACHED CARPORT IN CONJUNTION WITH NEW ACCESSORY DWELLING UNDE,2019-02-13,1000.0,,,,R1-1,2101036007,2101036007,Residential,Single Family Residence,2013-09-13,4.0,3.0,1,"417,585.00"
87,"NEW 32'-11"" X 26'-6"" ACCESSORY DWELLING UNIT PER AB 494 AND SB 229",2019-10-16,87000.0,795.0,,1.0,[Q]R2-1L-CDO-RIO,2126021008,2126021008,Residential,Single Family Residence,2017-08-17,3.0,1.0,1,"567,000.00"
88,ADDITION TO (E) GARAGE AND CONVERT ENTIRE BUILDING TO ADU PER AB 494 &,2019-07-02,57424.0,967.5,,1.0,R2-1,5018004022,5018004022,Residential,Single Family Residence,2011-01-26,6.0,4.0,1,"333,059.00"
89,CONVERT THE (E) ATTACHED GARAGE INTO A (N) ACCESSORY DWELLING UNIT PER,2019-05-08,25000.0,367.0,0.0,0.0,R1-1,2414023003,2414023003,Residential,Single Family Residence,2005-03-18,3.0,2.0,1,"62,804.00"
90,"CONVERT (E) 18'2"" x 20'2"" GARAGE TO AN ACCESSORY DWELLING UNIT PER AB",2017-04-13,16000.0,366.0,1.0,0.0,RS-1,2648003018,2648003018,Residential,Single Family Residence,2017-10-13,3.0,2.0,1,"617,100.00"
91,CONVERSION OF DETACHED GARAGE TO NEW ACCESSORY DWELLING UNIT (538 SQFT,2018-12-26,15000.0,538.0,,0.0,R1-1-HPOZ,5059015013,5059015013,Residential,Single Family Residence,2016-02-17,5.0,2.0,1,"402,000.00"
92,convert (e) garage to 380ft ADU per AB494 SB229,2019-03-21,20000.0,380.0,,0.0,R1V2,4258011010,4258011010,Residential,Single Family Residence,2017-04-14,3.0,1.0,1,"95,996.00"
93,NEW 2 STORY ACCESSORY DWELLING UNIT WITH ATTACHED GARAGE PER  AB 494 A,2019-11-27,140000.0,1189.0,,2.0,R1R3-RG,5507006020,5507006020,Residential,Single Family Residence,2004-05-14,3.0,1.0,1,"99,947.00"
94,CONVERT THE ATTACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB 494,2019-11-25,20000.0,433.0,0.0,0.0,RS-1,2034017027,2034017027,Residential,Single Family Residence,1994-06-16,3.0,2.0,1,"70,497.00"
95,"CONVERT (E) 18'-5"" x 20'-1"" GARAGE TO (N) ACCESSORY DWELLING UNIT PER",2017-04-04,18000.0,332.0,1.0,0.0,R1-1,2638032024,2638032024,Residential,Single Family Residence,2016-12-01,3.0,2.0,1,"526,309.00"
96,CONVERT (E) TWO-CAR GARAGE TO (N) ACCESSORY DWELLING UNIT PER AB 2299,2017-03-30,15200.0,333.0,1.0,0.0,R1-1-RFA-RIO,2369006006,2369006006,Residential,Single Family Residence,2017-04-19,3.0,4.0,1,"1,098,718.00"
97,CONVERT (E) 2-CAR GARAGE TO AN ADU AND 1-CAR GARAGE PER AB 494 AND SB,2020-05-12,30000.0,216.0,,1.0,R2-1,4241023025,4241023025,Residential,Single Family Residence,2008-02-04,2.0,2.0,1,"335,058.00"
98,"NEW TWO-STORY ACCESSORY DWELLING UNIT WITH ONE COVERED PARKING , PER A",2017-06-16,115000.0,1200.0,1.0,2.0,R2-1VL,5401013020,5401013020,Residential,"Double, Duplex, or Two Units",2016-08-30,3.0,1.0,1,"185,362.00"
99,SUPPLEMENTAL PERMIT TO 17010-20000-00645 TO RELOCATE (E) ADU AND CHANG,2019-05-07,501.0,,,,RA-1,2689014001,2689014001,Residential,Single Family Residence,2017-01-18,3.0,2.0,1,"598,229.00"
100,CONVERT EXISTING DETACHED GARAGE INTO AN ACCESSORY DWELLING UNIT PER A,2019-07-05,16560.0,315.0,,1.0,R1-1-CDO-RIO,5453007018,5453007018,Residential,Single Family Residence,2018-11-15,3.0,2.0,1,"225,482.00"
101,"Convert (E) 20'-0"" x 32'-0"" Servant's Quarters to Accessory Dwelling U",2017-03-23,7000.0,0.0,1.0,,R1-1,2215015045,2215015045,Residential,Single Family Residence,2005-07-13,3.0,2.0,1,"182,680.00"
102,NEW 2-STORY TYPE VB 3-CAR GARAGE WITH ACCESSORY DWELLING UNIT PER AB 4,2020-05-09,90000.0,615.0,,2.0,R1-1-RFA,2570006039,2570006039,Residential,Single Family Residence,2012-02-29,2.0,1.0,1,"236,452.00"
103,"CONVERT (E) 20'-5"" X 22'-3"" ATTACHED GARAGE TO ACCESSORY DWELLING UNIT",2017-03-21,4000.0,419.0,1.0,1.0,R1-1-RIO,2231020026,2231020026,Residential,Single Family Residence,2016-03-08,3.0,3.0,2,"592,216.00"
104,NEW 2-STORY ACCESSORY DWELLING UNIT PER AB 494 & SB 229.,2019-11-27,164000.0,1136.0,,2.0,R1-1,5477002015,5477002015,Residential,Single Family Residence,2018-04-27,2.0,1.0,1,"774,180.00"
105,"NEW 28'-0"" x 46'-5"" ACCESSORY DWELLING UNIT PER AB 2299 & SB 1069",2017-05-17,121000.0,1136.0,1.0,1.0,R1-1,2212025016,2212025016,Residential,Single Family Residence,2017-04-27,3.0,2.0,1,"553,329.00"
106,NEW 29'x23.5' 2-Story Accessory Dwelling Unit PER AB 494 AND SB 229. A,2019-11-25,137663.0,1140.0,,2.0,RS-1,2035018001,2035018001,Residential,Single Family Residence,1983-11-01,3.0,2.0,1,"66,100.00"
107,CONVERT THE ATT. GARAGE INTO AN ACCESSORY DWELLING UNIT PER AB 494 AND,2019-09-19,20000.0,367.0,,,R1-1,2222010003,2222010003,Residential,Single Family Residence,2007-03-06,3.0,3.0,1,"254,510.00"
108,ADD 20' X 20' ACCESSORY DWELLING UNIT ATTACHED TO DETACHED GARAGE PER,2018-12-19,40500.0,400.0,,1.0,R1-1,2625030022,2625030022,Residential,Single Family Residence,2018-10-24,3.0,2.0,1,"260,876.00"
109,2-story ADU addition to existing garage and attach to SFD with 10' sol,2018-10-29,162345.0,4270.85,0.0,3.0,R1H1,4422010003,4422010003,Residential,Single Family Residence,2018-03-29,5.0,3.0,1,"985,780.00"
110,PROPOSED CONVERSION OF A DETACHED GARAGE INTO AN ACCESSORY DWELLING UN,2019-05-21,20000.0,396.0,,0.0,R1-1,2245027015,2245027015,Residential,"Double, Duplex, or Two Units",2003-12-05,2.0,2.0,2,"189,415.00"
